combo_name,object_model_path,pose_model_path,analysis_json,frames_processed,video_fps,runtime_fps,average_latency_ms,gpu_avg_power_w,gpu_avg_temp_c,gpu_avg_utilization_pct,PS Power (W),Temp (C),GPU (%),pass_events,drive_events,pred_passes_club1,pred_passes_club2,pred_passes_total,gt_passes_club1,gt_passes_club2,gt_passes_home,gt_passes_away,gt_passes_unknown,gt_passes_total,gt_team_mapping,map_compare_on,map_confidence_min,map_dedupe_window_s,map_time_offset_s,max_eval_time_s,pred_events_raw,pred_events_kept,gt_events_eval,mAP1,mAP2,mAP3,mAP4,mAP5,mAP1-5,partial,complete,error
obj26l_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_02/batch_20260319_215159/obj26l_fp16_pose26n_fp16.analysis.json,1500,25.0,5.568,176.3459,4.6792,53.2554,51.496,4.6792,53.2554,51.496,27,16,6,21,27,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,27,27,30,0.553383,0.670424,0.705073,0.752914,0.752914,0.686942,True,False,
obj26l_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_02/batch_20260319_215159/obj26l_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,5.7279,171.8893,4.6949,54.9247,54.6776,4.6949,54.9247,54.6776,29,25,2,27,29,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,29,29,30,0.393721,0.454833,0.494807,0.538994,0.538994,0.48427,True,False,
obj26l_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_02/batch_20260319_215159/obj26l_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,5.7444,171.4148,4.6582,54.7313,50.4675,4.6582,54.7313,50.4675,24,23,1,23,24,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,24,24,30,0.431376,0.5209,0.533657,0.615936,0.615936,0.543561,True,False,
obj26l_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_02/batch_20260319_215159/obj26l_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,5.7471,171.2067,4.512,53.9763,53.3862,4.512,53.9763,53.3862,32,18,5,27,32,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,32,32,30,0.40819,0.590127,0.736695,0.769637,0.769637,0.654857,True,False,
obj26s_baseline_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_02/batch_20260319_215159/obj26s_baseline_pose26n_fp16.analysis.json,1500,25.0,5.9357,165.7969,3.7595,53.4267,51.9828,3.7595,53.4267,51.9828,16,20,2,14,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.448077,0.448077,0.533333,0.533333,0.533333,0.499231,True,False,
obj26s_baseline_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_02/batch_20260319_215159/obj26s_baseline_pose26n_p80_fp16.analysis.json,1500,25.0,6.1145,160.9171,3.7543,53.384,51.3227,3.7543,53.384,51.3227,16,24,2,14,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.414529,0.416766,0.533333,0.533333,0.533333,0.486259,True,False,
obj26s_baseline_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_02/batch_20260319_215159/obj26s_baseline_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.1104,161.0687,3.7481,53.4898,46.6727,3.7481,53.4898,46.6727,17,20,1,16,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.471301,0.473203,0.566667,0.566667,0.566667,0.528901,True,False,
obj26s_baseline_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_02/batch_20260319_215159/obj26s_baseline_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.1846,159.1069,3.6318,53.1413,47.6438,3.6318,53.1413,47.6438,19,22,3,16,19,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,19,19,30,0.427193,0.543108,0.633333,0.633333,0.633333,0.57406,True,False,
obj26m_p80_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_02/batch_20260319_215159/obj26m_p80_fp16_pose26n_fp16.analysis.json,1500,25.0,6.174,159.3667,3.8903,52.3951,44.8348,3.8903,52.3951,44.8348,23,22,6,17,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.404634,0.567273,0.567273,0.606435,0.693939,0.567911,True,False,
obj26m_p80_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_02/batch_20260319_215159/obj26m_p80_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,6.5052,151.1332,3.954,52.5485,39.6093,3.954,52.5485,39.6093,27,18,3,24,27,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,27,27,30,0.405212,0.737365,0.775811,0.775811,0.789448,0.69673,True,False,
