combo_name,object_model_path,pose_model_path,analysis_json,frames_processed,video_fps,runtime_fps,average_latency_ms,gpu_avg_power_w,gpu_avg_temp_c,gpu_avg_utilization_pct,PS Power (W),Temp (C),GPU (%),pass_events,drive_events,pred_passes_club1,pred_passes_club2,pred_passes_total,gt_passes_club1,gt_passes_club2,gt_passes_home,gt_passes_away,gt_passes_unknown,gt_passes_total,gt_team_mapping,map_compare_on,map_confidence_min,map_dedupe_window_s,map_time_offset_s,max_eval_time_s,pred_events_raw,pred_events_kept,gt_events_eval,mAP1,mAP2,mAP3,mAP4,mAP5,mAP1-5,partial,complete,error
obj26l_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_01/batch_20260319_204822/obj26l_fp16_pose26n_fp16.analysis.json,1500,25.0,5.4756,177.0341,4.6617,51.34,53.792,4.6617,51.34,53.792,25,19,5,20,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.495046,0.635556,0.635556,0.68,0.68,0.625231,True,False,
obj26l_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_01/batch_20260319_204822/obj26l_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,5.7468,171.2355,4.6981,54.7285,52.373,4.6981,54.7285,52.373,28,23,2,26,28,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,28,28,30,0.388628,0.431713,0.513326,0.547186,0.547186,0.485608,True,False,
obj26l_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_01/batch_20260319_204822/obj26l_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,5.7969,169.6846,4.7486,54.7809,48.6364,4.7486,54.7809,48.6364,24,21,2,22,24,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,24,24,30,0.433519,0.522656,0.53576,0.615936,0.615936,0.544761,True,False,
obj26l_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_01/batch_20260319_204822/obj26l_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,5.7543,170.936,4.5232,54.312,47.3522,4.5232,54.312,47.3522,30,19,5,25,30,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,30,30,30,0.354521,0.560272,0.703279,0.738435,0.738435,0.618988,True,False,
obj26s_baseline_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_01/batch_20260319_204822/obj26s_baseline_pose26n_fp16.analysis.json,1500,25.0,5.9337,165.481,3.7775,54.1096,47.4612,3.7775,54.1096,47.4612,17,18,2,15,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.482633,0.482633,0.566667,0.566667,0.566667,0.533053,True,False,
obj26s_baseline_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_01/batch_20260319_204822/obj26s_baseline_pose26n_p80_fp16.analysis.json,1500,25.0,6.0921,161.5344,3.7533,54.0294,51.1045,3.7533,54.0294,51.1045,15,20,2,13,15,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,15,15,30,0.379114,0.379114,0.464444,0.5,0.5,0.444535,True,False,
obj26s_baseline_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_01/batch_20260319_204822/obj26s_baseline_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.1139,160.9485,3.7513,53.88,48.3303,3.7513,53.88,48.3303,16,20,1,15,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.440909,0.443056,0.533333,0.533333,0.533333,0.496793,True,False,
obj26s_baseline_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_01/batch_20260319_204822/obj26s_baseline_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.205,158.5704,3.6438,53.5289,46.8624,3.6438,53.5289,46.8624,18,20,3,15,18,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,18,18,30,0.462092,0.557407,0.6,0.6,0.6,0.5639,True,False,
obj26m_p80_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_01/batch_20260319_204822/obj26m_p80_fp16_pose26n_fp16.analysis.json,1500,25.0,6.2298,157.5818,3.898,52.8384,43.9638,3.898,52.8384,43.9638,23,22,5,18,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.416512,0.575519,0.575519,0.611747,0.662319,0.568323,True,False,
obj26m_p80_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_01/batch_20260319_204822/obj26m_p80_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,6.4221,153.1166,3.8847,52.5896,43.0185,3.8847,52.5896,43.0185,26,16,3,23,26,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,26,26,30,0.425929,0.695085,0.738376,0.738376,0.794658,0.678485,True,False,
