combo_name,object_model_path,pose_model_path,analysis_json,frames_processed,video_fps,runtime_fps,average_latency_ms,gpu_avg_power_w,gpu_avg_temp_c,gpu_avg_utilization_pct,PS Power (W),Temp (C),GPU (%),pass_events,drive_events,pred_passes_club1,pred_passes_club2,pred_passes_total,gt_passes_club1,gt_passes_club2,gt_passes_home,gt_passes_away,gt_passes_unknown,gt_passes_total,gt_team_mapping,map_compare_on,map_confidence_min,map_dedupe_window_s,map_time_offset_s,max_eval_time_s,pred_events_raw,pred_events_kept,gt_events_eval,mAP1,mAP2,mAP3,mAP4,mAP5,mAP1-5,partial,complete,error
obj26l_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_13/batch_20260320_093139/obj26l_fp16_pose26n_fp16.analysis.json,1500,25.0,5.5524,176.8449,4.6533,53.6674,51.66,4.6533,53.6674,51.66,25,19,5,20,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.510409,0.632222,0.637778,0.685,0.685,0.630082,True,False,
obj26l_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_13/batch_20260320_093139/obj26l_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,5.7256,171.9512,4.6663,55.1103,53.0772,4.6663,55.1103,53.0772,28,23,2,26,28,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,28,28,30,0.351256,0.431713,0.469444,0.497149,0.543657,0.458644,True,False,
obj26l_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_13/batch_20260320_093139/obj26l_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,5.7512,171.1987,4.6905,55.3071,48.3918,4.6905,55.3071,48.3918,24,23,1,23,24,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,24,24,30,0.433519,0.522656,0.53576,0.615936,0.615936,0.544761,True,False,
obj26l_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_13/batch_20260320_093139/obj26l_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,5.7546,171.0008,4.5333,55.013,44.5935,4.5333,55.013,44.5935,31,19,5,26,31,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,31,31,30,0.392279,0.601322,0.701705,0.773187,0.773187,0.648336,True,False,
obj26s_baseline_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_13/batch_20260320_093139/obj26s_baseline_pose26n_fp16.analysis.json,1500,25.0,5.9339,165.8382,3.7647,54.2051,48.1197,3.7647,54.2051,48.1197,16,20,2,14,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.448077,0.448077,0.533333,0.533333,0.533333,0.499231,True,False,
obj26s_baseline_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_13/batch_20260320_093139/obj26s_baseline_pose26n_p80_fp16.analysis.json,1500,25.0,6.1087,161.0752,3.7596,54.0572,50.15,3.7596,54.0572,50.15,15,18,2,13,15,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,15,15,30,0.382145,0.382145,0.464444,0.5,0.5,0.445747,True,False,
obj26s_baseline_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_13/batch_20260320_093139/obj26s_baseline_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.1014,161.2823,3.7421,54.2006,48.7455,3.7421,54.2006,48.7455,17,20,1,16,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.47598,0.477979,0.566667,0.566667,0.566667,0.530792,True,False,
obj26s_baseline_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_13/batch_20260320_093139/obj26s_baseline_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.196,158.7489,3.648,54.0481,44.8899,3.648,54.0481,44.8899,18,20,3,15,18,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,18,18,30,0.462092,0.557407,0.6,0.6,0.6,0.5639,True,False,
obj26m_p80_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_13/batch_20260320_093139/obj26m_p80_fp16_pose26n_fp16.analysis.json,1500,25.0,6.2295,157.9071,3.9402,57.7474,47.1847,3.9402,57.7474,47.1847,23,16,5,18,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.474693,0.575519,0.575519,0.611747,0.662319,0.57996,True,False,
obj26m_p80_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_13/batch_20260320_093139/obj26m_p80_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,6.5153,150.8814,4.0074,59.6291,47.5256,4.0074,59.6291,47.5256,25,12,3,22,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.415425,0.708746,0.747697,0.747697,0.758303,0.675574,True,False,
