Model,Location,mAP50,mAP50-95,Precision,Recall,FPS (avg),Latency ms,GPU Util %,CPU Util %,RAM (GB),Power (W),Temp (?C),Params (M),Model Size (MB),GFLOPs,Reduction vs Baseline (%),Validation2 Location,Validation2 mAP50,Validation2 mAP50-95,Validation2 Precision,Validation2 Recall
11n_pose_baseline.engine,research/pose/11n-pose/baseline/11n_baseline_engine.json,0.989138,0.921719,0.924278,1.000000,18.15,55.10,55.89,8.92,2.13,10.21,55.50,,,,,research/pose/11n-pose/baseline/11n_pose_baseline_engine_validation2.json,0.982087,0.896306,0.865826,1.000000
11n_pose_baseline.pt,research/pose/11n-pose/baseline/11n_baseline_pt.json,0.977942,0.892504,0.847294,1.000000,16.32,61.27,66.47,12.48,2.24,13.00,58.84,,,,,research/pose/11n-pose/baseline/11n_pose_baseline_pt_validation2.json,0.978784,0.893084,0.868929,0.967742
11n_pose_fp16.engine,research/pose/11n-pose/quantization/FP16/11n_fp16_engine.json,0.989138,0.919277,0.954649,1.000000,21.89,45.68,48.88,10.00,2.24,7.15,50.37,,,,,research/pose/11n-pose/quantization/FP16/11n_pose_fp16_engine_validation2.json,0.981697,0.899663,0.865645,1.000000
11n_pose_int8.engine,research/pose/11n-pose/quantization/INT8/11n_int8_engine.json,0.970324,0.858509,0.848042,1.000000,22.54,44.36,48.34,9.87,2.11,6.28,48.63,,,,,research/pose/11n-pose/quantization/INT8/11n_pose_int8_engine_validation2.json,0.973341,0.859322,0.831525,1.000000
11s_pose_baseline.engine,research/pose/11s-pose/baseline/11s_baseline_engine.json,0.991552,0.982486,0.963147,1.000000,13.31,75.11,56.18,7.69,2.13,13.08,59.34,,,,,research/pose/11s-pose/baseline/11s_pose_baseline_engine_validation2.json,0.993730,0.983374,0.979360,1.000000
11s_pose_baseline.pt,research/pose/11s-pose/baseline/11s_baseline_pt.json,0.981552,0.966696,0.926422,1.000000,9.76,102.46,74.32,8.45,2.27,14.77,60.32,,,,,research/pose/11s-pose/baseline/11s_pose_baseline_pt_validation2.json,0.984385,0.977284,0.937009,1.000000
11s_pose_fp16.engine,research/pose/11s-pose/quantization/FP16/11s_fp16_engine.json,0.990172,0.981510,0.963095,1.000000,19.48,51.32,55.16,9.53,2.26,8.88,53.50,,,,,research/pose/11s-pose/quantization/FP16/11s_pose_fp16_engine_validation2.json,0.993730,0.983626,0.979221,1.000000
11s_pose_int8.engine,research/pose/11s-pose/quantization/INT8/11s_int8_engine.json,0.993966,0.693262,0.903087,1.000000,19.49,51.32,47.07,10.00,2.26,6.89,49.74,,,,,research/pose/11s-pose/quantization/INT8/11s_pose_int8_engine_validation2.json,0.958163,0.691258,0.948229,0.967742
11x_baseline.engine,research/object/11x/baseline/11x_baseline.engine_benchmark.json,0.897467,0.666241,0.964509,0.882682,3.31,302.48,93.68,1.49,3.20,16.83,62.07,,,,,,,,,
11l_DS3_baseline.engine,research/object/11l_DS3/baseline/11l_DS3_baseline_engine.json,0.977206,0.905057,0.992330,0.967010,6.14,162.82,80.37,4.35,2.13,16.21,63.57,,,,,,,,,
11l_DS3_baseline.pt,research/object/11l_DS3/baseline/11l_DS3_baseline_pt.json,0.977882,0.907265,0.997628,0.965660,4.05,247.02,88.20,5.75,2.28,16.91,62.06,,,,,,,,,
11l_DS3_fp16.engine,research/object/11l_DS3/quantization/FP16/11l_DS3_fp16_engine.json,0.977206,0.875944,0.992306,0.967010,12.51,79.94,63.05,7.51,2.19,14.01,60.98,,,,,,,,,
11l_DS3_int8.engine,research/object/11l_DS3/quantization/INT8/11l_DS3_int8_engine.json,0.953735,0.772297,0.970776,0.903007,15.10,66.21,58.37,8.30,2.15,10.27,56.12,,,,,,,,,
11m_DS3_baseline.engine,research/object/11m_DS3/baseline/11m_DS3_baseline_engine.json,0.978143,0.913548,0.993086,0.977583,7.93,126.15,75.35,4.95,2.11,15.80,62.91,,,,,,,,,
11m_DS3_baseline.pt,research/object/11m_DS3/baseline/11m_DS3_baseline_pt.json,0.977715,0.916774,0.993509,0.977550,5.19,192.55,87.95,6.20,2.28,16.50,63.10,,,,,,,,,
