Model,Location,mAP50,mAP50-95,Precision,Recall,FPS (avg),Latency ms,GPU Util %,CPU Util %,RAM (GB),Power (W),Temp (?C),Params (M),Model Size (MB),GFLOPs,Reduction vs Baseline (%),Validation2 Location,Validation2 mAP50,Validation2 mAP50-95,Validation2 Precision,Validation2 Recall
11n_pose_p90.engine,research/pose/11n-pose/pruning/90/11n_pose_p90.engine_benchmark.json,0.995000,0.768110,0.977622,1.000000,9.60,104.12,84.52,3.50,2.99,10.06,54.91,,,,,research/pose/11n-pose/pruning/90/11n_pose_p90_engine_validation2.json,0.995000,0.764015,0.985683,1.000000
11n_pose_p90.pt,research/pose/11n-pose/pruning/90/11n_pose_p90.pt_benchmark.json,0.972931,0.757898,0.928599,1.000000,16.16,61.88,78.24,11.19,3.22,11.72,55.73,,,,,research/pose/11n-pose/pruning/90/11n_pose_p90_pt_validation2.json,0.985159,0.746786,0.961777,1.000000
11n_pose_p90_fp16.engine,research/pose/11n-pose/pruning_quantization/90/FP16/11n_pose_p90_fp16.engine_benchmark.json,0.995000,0.771596,0.978080,1.000000,11.49,87.02,82.59,4.17,3.23,9.22,51.46,,,,,research/pose/11n-pose/pruning_quantization/90/FP16/11n_pose_p90_fp16_engine_validation2.json,0.995000,0.764928,0.986644,1.000000
11n_pose_p90_int8.engine,research/pose/11n-pose/pruning_quantization/90/INT8/11n_pose_p90_int8.engine_benchmark.json,0.995000,0.768958,0.985702,1.000000,11.46,87.24,77.45,3.97,3.21,8.85,51.39,,,,,research/pose/11n-pose/pruning_quantization/90/INT8/11n_pose_p90_int8_engine_validation2.json,0.991984,0.742270,0.976891,1.000000
11s_pose_p80.engine,research/pose/11s-pose/pruning/80/11s_pose_p80.engine_benchmark.json,0.989138,0.674737,0.951934,1.000000,7.94,125.88,87.20,2.96,2.91,11.32,55.14,,,,,research/pose/11s-pose/pruning/80/11s_pose_p80_engine_validation2.json,0.975911,0.645696,0.882498,0.951613
11s_pose_p80.pt,research/pose/11s-pose/pruning/80/11s_pose_p80.pt_benchmark.json,0.984394,0.678755,0.893824,0.928571,9.56,104.63,79.93,7.00,3.15,13.08,55.42,,,,,research/pose/11s-pose/pruning/80/11s_pose_p80_pt_validation2.json,0.983715,0.654212,0.891550,0.928218
11s_pose_p80_fp16.engine,research/pose/11s-pose/pruning_quantization/80/FP16/11s_pose_p80_fp16.engine_benchmark.json,0.989138,0.674741,0.943145,1.000000,10.48,95.41,80.28,3.86,3.05,10.09,52.50,,,,,research/pose/11s-pose/pruning_quantization/80/FP16/11s_pose_p80_fp16_engine_validation2.json,0.975323,0.646538,0.881089,0.956132
11s_pose_p80_int8.engine,research/pose/11s-pose/pruning_quantization/80/INT8/11s_pose_p80_int8.engine_benchmark.json,0.995000,0.636128,0.963873,1.000000,11.70,85.46,80.49,4.02,3.02,9.59,52.47,,,,,research/pose/11s-pose/pruning_quantization/80/INT8/11s_pose_p80_int8_engine_validation2.json,0.973267,0.609394,0.895565,0.935484
11s_pose_p90.engine,research/pose/11s-pose/pruning/90/11s_pose_p90.engine_benchmark.json,0.964123,0.637297,0.813865,1.000000,7.73,129.30,85.24,2.91,2.89,11.25,54.52,,,,,research/pose/11s-pose/pruning/90/11s_pose_p90_engine_validation2.json,0.958659,0.643024,0.846636,0.979478
11s_pose_p90.pt,research/pose/11s-pose/pruning/90/11s_pose_p90.pt_benchmark.json,0.973121,0.636933,0.844466,0.969688,9.54,104.85,79.55,7.10,3.14,13.08,55.64,,,,,research/pose/11s-pose/pruning/90/11s_pose_p90_pt_validation2.json,0.967916,0.640352,0.844489,0.951613
11s_pose_p90_fp16.engine,research/pose/11s-pose/pruning_quantization/90/FP16/11s_pose_p90_fp16.engine_benchmark.json,0.966407,0.630063,0.814145,1.000000,10.08,99.24,82.55,3.72,3.06,10.18,52.16,,,,,research/pose/11s-pose/pruning_quantization/90/FP16/11s_pose_p90_fp16_engine_validation2.json,0.958337,0.640398,0.835052,0.979886
11s_pose_p90_int8.engine,research/pose/11s-pose/pruning_quantization/90/INT8/11s_pose_p90_int8.engine_benchmark.json,0.934874,0.519611,0.813159,0.928571,11.13,89.84,78.31,3.88,2.94,9.39,51.45,,,,,research/pose/11s-pose/pruning_quantization/90/INT8/11s_pose_p90_int8_engine_validation2.json,0.926349,0.526056,0.745604,0.887097
11x_pose_p70.engine,research/pose/11x-pose/pruning/70/11x_pose_p70.engine_benchmark.json,0.995000,0.621795,0.994283,1.000000,3.59,278.29,95.67,1.67,3.20,15.03,61.35,,,,,research/pose/11x-pose/pruning/70/11x_pose_p70_engine_validation2.json,0.995000,0.631930,0.997419,1.000000
11x_pose_p70.pt,research/pose/11x-pose/pruning/70/11x_pose_p70.pt_benchmark.json,0.995000,0.639826,0.996904,1.000000,2.50,399.29,95.95,3.75,3.81,15.10,60.78,,,,,research/pose/11x-pose/pruning/70/11x_pose_p70_pt_validation2.json,0.995000,0.642387,0.998565,1.000000
11x_pose_p70_fp16.engine,research/pose/11x-pose/pruning_quantization/70/FP16/11x_pose_p70_fp16.engine_benchmark.json,0.995000,0.616671,0.994357,1.000000,6.28,159.17,86.93,2.72,3.29,13.81,59.30,,,,,research/pose/11x-pose/pruning_quantization/70/FP16/11x_pose_p70_fp16_engine_validation2.json,0.995000,0.629806,0.997403,1.000000
11x_pose_p70_int8.engine,research/pose/11x-pose/pruning_quantization/70/INT8/11x_pose_p70_int8.engine_benchmark.json,0.995000,0.552683,0.994039,1.000000,7.70,129.86,86.97,2.90,3.27,11.65,58.27,,,,,research/pose/11x-pose/pruning_quantization/70/INT8/11x_pose_p70_int8_engine_validation2.json,0.986826,0.556118,0.980755,0.983871
11x_pose_p80.engine,research/pose/11x-pose/pruning/80/11x_pose_p80.engine_benchmark.json,0.967564,0.648874,0.902848,1.000000,3.58,279.72,92.68,1.63,3.21,15.02,61.40,,,,,research/pose/11x-pose/pruning/80/11x_pose_p80_engine_validation2.json,0.982889,0.623751,0.940895,1.000000
11x_pose_p80.pt,research/pose/11x-pose/pruning/80/11x_pose_p80.pt_benchmark.json,0.993966,0.611911,0.946282,1.000000,2.50,399.23,95.13,3.75,3.79,15.11,60.69,,,,,research/pose/11x-pose/pruning/80/11x_pose_p80_pt_validation2.json,0.991919,0.608417,0.948128,1.000000
11x_pose_p80_fp16.engine,research/pose/11x-pose/pruning_quantization/80/FP16/11x_pose_p80_fp16.engine_benchmark.json,0.969103,0.642071,0.902719,1.000000,6.32,158.24,92.71,2.71,3.24,13.90,59.47,,,,,research/pose/11x-pose/pruning_quantization/80/FP16/11x_pose_p80_fp16_engine_validation2.json,0.982876,0.620999,0.942845,1.000000
11x_pose_p80_int8.engine,research/pose/11x-pose/pruning_quantization/80/INT8/11x_pose_p80_int8.engine_benchmark.json,0.979138,0.631817,0.965409,0.996869,8.28,120.81,81.97,3.15,3.25,12.07,58.55,,,,,research/pose/11x-pose/pruning_quantization/80/INT8/11x_pose_p80_int8_engine_validation2.json,0.987913,0.572585,0.966589,1.000000
11x_pose_p90.engine,research/pose/11x-pose/pruning/90/11x_pose_p90.engine_benchmark.json,0.995000,0.764075,0.995013,1.000000,3.60,277.50,92.49,1.68,3.21,15.04,61.40,,,,,research/pose/11x-pose/pruning/90/11x_pose_p90_engine_validation2.json,0.995000,0.759633,0.997757,1.000000
11x_pose_p90.pt,research/pose/11x-pose/pruning/90/11x_pose_p90.pt_benchmark.json,0.995000,0.759253,0.997322,1.000000,2.50,400.25,92.46,3.74,3.81,15.06,60.61,,,,,research/pose/11x-pose/pruning/90/11x_pose_p90_pt_validation2.json,0.995000,0.751950,0.998628,1.000000
11x_pose_p90_fp16.engine,research/pose/11x-pose/pruning_quantization/90/FP16/11x_pose_p90_fp16.engine_benchmark.json,0.995000,0.764039,0.994946,1.000000,6.42,155.83,88.13,2.71,3.21,13.79,59.42,,,,,research/pose/11x-pose/pruning_quantization/90/FP16/11x_pose_p90_fp16_engine_validation2.json,0.995000,0.759953,0.997762,1.000000
11x_pose_p90_int8.engine,research/pose/11x-pose/pruning_quantization/90/INT8/11x_pose_p90_int8.engine_benchmark.json,0.995000,0.722806,0.994780,1.000000,8.10,123.46,77.76,3.05,3.21,11.97,58.41,,,,,research/pose/11x-pose/pruning_quantization/90/INT8/11x_pose_p90_int8_engine_validation2.json,0.995000,0.712557,0.997471,1.000000
26x_DS3_baseline.engine,research/object/26x/baseline/26x_DS3_baseline.engine_benchmark.json,0.987899,0.929034,0.996108,0.971800,3.26,306.37,93.03,1.38,3.07,16.80,62.24,,,,,,,,,
26x_DS3_baseline.pt,research/object/26x/baseline/26x_DS3_baseline.pt_benchmark.json,0.987924,0.928872,0.997838,0.972943,1.93,517.31,95.83,4.52,3.69,15.40,61.11,,,,,,,,,
26x_DS3_fp16.engine,research/object/26x/quantization/FP16/26x_DS3_fp16.engine_benchmark.json,0.994483,0.915772,0.994825,0.984401,7.00,142.83,87.45,2.60,3.10,16.98,62.03,,,,,,,,,
26x_DS3_int8.engine,research/object/26x/quantization/INT8/26x_DS3_int8.engine_benchmark.json,0.001882,.81,0.002601,0.039253,11.50,86.95,82.52,3.62,2.99,14.47,59.90,,,,,,,,,
26l_DS3_from_26x.engine,research/object/26l/distillation/26l_DS3_from_26x_engine_test.json,0.988163,0.900965,0.990622,0.985927,5.61,178.34,96.97,2.19,3.04,15.55,60.61,,,,,,,,,
26l_DS3_from_26x_fp16.engine,research/object/26l/distilled-quantized/FP16/26l_DS3_from_26x_fp16_engine_test.json,0.988159,0.891940,0.995177,0.986480,12.94,77.27,79.45,4.29,3.11,15.32,60.18,,,,,,,,,
26l_DS3_from_26x_int8.engine,research/object/26l/distilled-quantized/INT8/26l_DS3_from_26x_int8_engine_test.json,0.969288,0.835302,0.961254,0.964722,18.51,54.01,72.08,5.51,3.05,13.09,58.58,,,,,,,,,
26l_pose_from_26x.engine,research/pose/26l-pose/distillation/26l_pose_from_26x_engine_test.json,0.962477,0.819634,0.974718,0.821429,5.45,183.49,88.69,2.08,3.13,15.81,60.21,,,,,research/pose/26l-pose/distillation/26l_pose_from_26x_engine_validation2.json,0.953351,0.802393,0.881867,0.842879
26l_pose_from_26x.pt,research/pose/26l-pose/distillation/26l_pose_from_26x_pt_test.json,0.934740,0.830340,0.901693,0.857143,3.20,312.48,93.39,5.94,3.63,15.06,59.05,,,,,research/pose/26l-pose/distillation/26l_pose_from_26x_pt_validation2.json,0.955242,0.821271,0.909465,0.887097
26l_pose_from_26x_fp16.engine,research/pose/26l-pose/distilled-quantized/FP16/26l_pose_from_26x_fp16_engine_test.json,0.962279,0.821364,0.976839,0.821429,11.95,83.70,79.08,3.99,2.87,15.38,58.72,,,,,research/pose/26l-pose/distilled-quantized/FP16/26l_pose_from_26x_fp16_engine_validation2.json,0.955018,0.804129,0.893779,0.822581
26l_pose_from_26x_int8.engine,research/pose/26l-pose/distilled-quantized/INT8/26l_pose_from_26x_int8_engine_test.json,0.000000,0.000000,0.000000,0.000000,17.75,56.34,71.59,5.21,2.88,12.91,55.98,,,,,research/pose/26l-pose/distilled-quantized/INT8/26l_pose_from_26x_int8_engine_validation2.json,0.000000,0.000000,0.000000,0.000000
26m_DS3_from_26l.engine,research/object/26m/distillation/26m_DS3_from_26l_engine_test.json,0.979287,0.915076,0.992636,0.969923,7.31,136.72,87.39,2.58,2.89,15.50,60.95,,,,,,,,,
26m_DS3_from_26l_fp16.engine,research/object/26m/distilled-quantized/FP16/26m_DS3_from_26l_fp16_engine_test.json,0.979287,0.907436,0.992662,0.969785,15.65,63.90,77.38,4.77,2.98,14.83,59.99,,,,,,,,,
26m_DS3_from_26l_int8.engine,research/object/26m/distilled-quantized/INT8/26m_DS3_from_26l_int8_engine_test.json,0.976631,0.848306,0.977256,0.955903,23.38,42.78,68.49,6.23,2.90,12.68,57.60,,,,,,,,,
26m_DS3_from_26x.engine,research/object/26m/distillation/26m_DS3_from_26x_engine_test.json,0.987680,0.911286,0.990631,0.985688,7.06,141.66,86.82,2.51,2.89,15.46,60.47,,,,,,,,,
26m_DS3_from_26x_fp16.engine,research/object/26m/distilled-quantized/FP16/26m_DS3_from_26x_fp16_engine_test.json,0.987680,0.900330,0.990530,0.985606,16.30,61.37,77.72,4.96,2.97,14.70,59.23,,,,,,,,,
26m_DS3_from_26x_int8.engine,research/object/26m/distilled-quantized/INT8/26m_DS3_from_26x_int8_engine_test.json,0.984170,0.841706,0.959336,0.973961,23.14,43.22,65.65,12.01,3.10,12.69,58.00,,,,,,,,,
26m_pose_from_26l.engine,research/pose/26m-pose/distillation/26m_pose_from_26l_engine_test.json,0.987759,0.795340,0.954602,1.000000,6.65,150.37,87.84,2.40,3.10,16.37,80.31,,,,,research/pose/26m-pose/distillation/26m_pose_from_26l_engine_validation2.json,0.977433,0.797601,0.967741,0.967701
26m_pose_from_26l.pt,research/pose/26m-pose/distillation/26m_pose_from_26l_pt_test.json,0.985836,0.808775,0.937655,0.928571,4.02,248.80,91.76,3.46,3.46,15.62,80.01,,,,,research/pose/26m-pose/distillation/26m_pose_from_26l_pt_validation2.json,0.981678,0.796906,0.967178,0.950573
26m_pose_from_26l_fp16.engine,research/pose/26m-pose/distilled-quantized/FP16/26m_pose_from_26l_fp16.engine_benchmark.json,0.989138,0.797026,0.965183,0.990296,14.78,67.68,75.39,4.72,2.70,15.60,71.28,,,,,research/pose/26m-pose/distilled-quantized/FP16/26m_pose_from_26l_fp16_engine_validation2.json,0.983129,0.796685,0.966512,0.931060
26m_pose_from_26l_int8.engine,research/pose/26m-pose/distilled-quantized/INT8/26m_pose_from_26l_int8.engine_benchmark.json,0.000000,0.000000,0.000000,0.000000,21.97,45.52,73.95,5.99,2.58,12.88,63.99,,,,,research/pose/26m-pose/distilled-quantized/INT8/26m_pose_from_26l_int8_engine_validation2.json,0.000000,0.000000,0.000000,0.000000
26m_pose_from_26x.engine,research/pose/26m-pose/distillation/26m_pose_from_26x_engine_test.json,0.914226,0.745647,0.745240,0.940484,6.61,151.20,88.69,2.43,3.13,16.29,78.47,,,,,research/pose/26m-pose/distillation/26m_pose_from_26x_engine_validation2.json,0.908261,0.692505,0.823083,0.887097
26m_pose_from_26x.pt,research/pose/26m-pose/distillation/26m_pose_from_26x_pt_test.json,0.893661,0.678760,0.751289,0.863217,4.02,248.50,91.95,3.44,3.60,15.61,79.52,,,,,research/pose/26m-pose/distillation/26m_pose_from_26x_pt_validation2.json,0.889899,0.669656,0.769307,0.914415
26m_pose_from_26x_fp16.engine,research/pose/26m-pose/distilled-quantized/FP16/26m_pose_from_26x_fp16_engine_test.json,0.918411,0.748025,0.728521,0.928571,14.70,68.02,79.53,4.68,2.71,15.63,74.88,,,,,research/pose/26m-pose/distilled-quantized/FP16/26m_pose_from_26x_fp16_engine_validation2.json,0.914664,0.696807,0.837347,0.887097
26m_pose_from_26x_int8.engine,research/pose/26m-pose/distilled-quantized/INT8/26m_pose_from_26x_int8.engine_benchmark.json,0.339472,0.168390,0.547573,0.214286,22.01,45.43,69.81,6.02,2.61,12.89,54.35,,,,,research/pose/26m-pose/distilled-quantized/INT8/26m_pose_from_26x_int8_engine_validation2.json,0.278035,0.122107,0.352999,0.338710
26n_DS3_from_26l.engine,research/object/26n/distillation/26n_DS3_from_26l_engine_test.json,0.950833,0.827535,0.992830,0.929587,24.32,41.13,66.17,6.86,2.82,11.55,55.79,,,,,,,,,
26n_DS3_from_26l_fp16.engine,research/object/26n/distilled-quantized/FP16/26n_DS3_from_26l_fp16_engine_test.json,0.950852,0.821154,0.992804,0.928031,41.20,24.27,54.49,10.19,3.26,10.39,54.65,,,,,,,,,
26n_DS3_from_26l_int8.engine,research/object/26n/distilled-quantized/INT8/26n_DS3_from_26l_int8_engine_test.json,0.945192,0.766930,0.930581,0.928875,48.03,20.82,50.89,10.87,3.23,9.15,54.93,,,,,,,,,
26n_DS3_from_26m.engine,research/object/26n/distillation/26n_DS3_from_26m_engine_test.json,0.958290,0.834147,0.958469,0.949790,24.53,40.76,65.31,6.93,3.09,11.50,56.29,,,,,,,,,
26n_DS3_from_26m_fp16.engine,research/object/26n/distilled-quantized/FP16/26n_DS3_from_26m_fp16_engine_test.json,0.958271,0.824986,0.959018,0.949929,43.03,23.24,48.88,10.58,3.26,10.22,54.15,,,,,,,,,
26n_DS3_from_26m_int8.engine,research/object/26n/distilled-quantized/INT8/26n_DS3_from_26m_int8_engine_test.json,0.947256,0.749436,0.983360,0.923639,47.27,21.15,42.97,10.76,3.25,9.25,52.75,,,,,,,,,
26n_DS3_from_26s.engine,research/object/26n/distillation/26n_DS3_from_26s_engine_test.json,0.958779,0.830633,0.947851,0.942075,24.20,41.33,67.47,6.79,2.72,11.44,55.20,,,,,,,,,
26n_DS3_from_26s_fp16.engine,research/object/26n/distilled-quantized/FP16/26n_DS3_from_26s_fp16_engine_test.json,0.958748,0.822464,0.948387,0.941825,41.69,23.99,48.28,10.28,3.26,10.26,53.88,,,,,,,,,
26n_DS3_from_26s_int8.engine,research/object/26n/distilled-quantized/INT8/26n_DS3_from_26s_int8_engine_test.json,0.951631,0.776751,0.961028,0.932366,47.77,20.93,44.93,10.87,3.25,9.30,52.81,,,,,,,,,
26n_DS3_from_26x.engine,research/object/26n/distillation/26n_DS3_from_26x_engine_test.json,0.955977,0.824267,0.988202,0.936043,24.65,40.57,67.44,6.81,3.17,11.52,56.15,,,,,,,,,
26n_DS3_from_26x_fp16.engine,research/object/26n/distilled-quantized/FP16/26n_DS3_from_26x_fp16_engine_test.json,0.955941,0.814289,0.986687,0.937405,42.84,23.34,49.45,10.57,3.25,10.21,54.43,,,,,,,,,
26n_DS3_from_26x_int8.engine,research/object/26n/distilled-quantized/INT8/26n_DS3_from_26x_int8_engine_test.json,0.944721,0.768796,0.960298,0.919149,48.07,20.80,45.41,10.89,3.16,9.19,53.02,,,,,,,,,
26n_pose_from_26l.engine,research/pose/26n-pose/distillation/26n_pose_from_26l_engine_test.json,0.991552,0.976667,0.962957,1.000000,19.98,50.05,70.99,5.88,2.61,12.32,56.71,,,,,research/pose/26n-pose/distillation/26n_pose_from_26l_engine_validation2.json,0.993125,0.968792,0.983843,0.982155
26n_pose_from_26l.pt,research/pose/26n-pose/distillation/26n_pose_from_26l_pt_test.json,0.990500,0.984120,0.933232,0.998426,13.92,71.82,78.17,9.99,2.93,12.75,56.94,,,,,research/pose/26n-pose/distillation/26n_pose_from_26l_pt_validation2.json,0.990744,0.984961,0.983224,0.945359
26n_pose_from_26l_fp16.engine,research/pose/26n-pose/distilled-quantized/FP16/26n_pose_from_26l_fp16_engine_test.json,0.992586,0.977860,0.962877,1.000000,35.31,28.32,55.57,9.20,2.81,10.93,56.58,,,,,research/pose/26n-pose/distilled-quantized/FP16/26n_pose_from_26l_fp16_engine_validation2.json,0.992824,0.968482,0.981122,0.967742
26n_pose_from_26l_int8.engine,research/pose/26n-pose/distilled-quantized/INT8/26n_pose_from_26l_int8_engine_test.json,0.983730,0.953882,0.927716,0.964286,41.48,24.11,46.65,10.09,2.79,10.11,72.84,,,,,research/pose/26n-pose/distilled-quantized/INT8/26n_pose_from_26l_int8_engine_validation2.json,0.988978,0.946908,0.964842,0.951613
26n_pose_from_26m.engine,research/pose/26n-pose/distillation/26n_pose_from_26m_engine_test.json,0.995000,0.986096,0.997047,1.000000,20.00,49.99,69.33,5.87,2.67,12.29,56.63,,,,,research/pose/26n-pose/distillation/26n_pose_from_26m_engine_validation2.json,0.992417,0.978135,0.963832,1.000000
26n_pose_from_26m.pt,research/pose/26n-pose/distillation/26n_pose_from_26m_pt_test.json,0.993966,0.983514,0.963789,1.000000,13.95,71.69,75.72,9.94,2.91,12.75,56.20,,,,,research/pose/26n-pose/distillation/26n_pose_from_26m_pt_validation2.json,0.990569,0.982331,0.939274,0.997925
26n_pose_from_26m_fp16.engine,research/pose/26n-pose/distilled-quantized/FP16/26n_pose_from_26m_fp16_engine_test.json,0.995000,0.986096,0.998302,1.000000,36.72,27.24,54.56,9.42,2.79,11.31,66.70,,,,,research/pose/26n-pose/distilled-quantized/FP16/26n_pose_from_26m_fp16_engine_validation2.json,0.992108,0.977707,0.968630,0.996103
26n_pose_from_26m_int8.engine,research/pose/26n-pose/distilled-quantized/INT8/26n_pose_from_26m_int8_engine_test.json,0.981571,0.943118,0.932491,1.000000,42.75,23.39,51.97,10.09,2.77,9.94,68.58,,,,,research/pose/26n-pose/distilled-quantized/INT8/26n_pose_from_26m_int8_engine_validation2.json,0.989083,0.952856,0.967014,1.000000
26n_pose_from_26s.engine,research/pose/26n-pose/distillation/26n_pose_from_26s_engine_test.json,0.983730,0.970200,0.920061,0.964286,20.24,49.40,69.75,6.03,2.61,12.18,56.73,,,,,research/pose/26n-pose/distillation/26n_pose_from_26s_engine_validation2.json,0.985811,0.975675,0.946194,0.951613
26n_pose_from_26s.pt,research/pose/26n-pose/distillation/26n_pose_from_26s_pt_test.json,0.986795,0.977934,0.918385,1.000000,13.52,73.94,74.90,10.18,2.86,12.45,56.67,,,,,research/pose/26n-pose/distillation/26n_pose_from_26s_pt_validation2.json,0.987456,0.982701,0.909463,1.000000
26n_pose_from_26s_fp16.engine,research/pose/26n-pose/distilled-quantized/FP16/26n_pose_from_26s_fp16_engine_test.json,0.984788,0.971040,0.925545,0.964286,34.29,29.17,57.29,9.01,2.79,11.01,56.57,,,,,research/pose/26n-pose/distilled-quantized/FP16/26n_pose_from_26s_fp16_engine_validation2.json,0.985682,0.975402,0.946281,0.951613
26n_pose_from_26s_int8.engine,research/pose/26n-pose/distilled-quantized/INT8/26n_pose_from_26s_int8_engine_test.json,0.983667,0.958516,0.929949,1.000000,42.40,23.59,50.14,10.14,2.79,10.04,70.03,,,,,research/pose/26n-pose/distilled-quantized/INT8/26n_pose_from_26s_int8_engine_validation2.json,0.987990,0.962246,0.936863,0.983871
26n_pose_from_26x.engine,research/pose/26n-pose/distillation/26n_pose_from_26x_engine_test.json,0.989597,0.981156,0.963544,0.944258,19.82,50.46,71.14,5.79,2.60,12.30,56.33,,,,,research/pose/26n-pose/distillation/26n_pose_from_26x_engine_validation2.json,0.992711,0.979147,0.995679,0.951613
26n_pose_from_26x.pt,research/pose/26n-pose/distillation/26n_pose_from_26x_pt_test.json,0.993000,0.982909,0.974101,0.964286,13.94,71.71,77.82,10.01,2.99,12.75,56.62,,,,,research/pose/26n-pose/distillation/26n_pose_from_26x_pt_validation2.json,0.991052,0.979938,0.939206,0.996755
26n_pose_from_26x_fp16.engine,research/pose/26n-pose/distilled-quantized/FP16/26n_pose_from_26x_fp16_engine_test.json,0.989597,0.981095,0.964057,0.958116,36.51,27.39,54.39,9.49,2.79,10.85,58.12,,,,,research/pose/26n-pose/distilled-quantized/FP16/26n_pose_from_26x_fp16_engine_validation2.json,0.992994,0.979656,0.997498,0.951613
26n_pose_from_26x_int8.engine,research/pose/26n-pose/distilled-quantized/INT8/26n_pose_from_26x_int8_engine_test.json,0.989071,0.964247,0.931488,0.971335,41.62,24.03,48.59,9.95,2.78,9.99,68.07,,,,,research/pose/26n-pose/distilled-quantized/INT8/26n_pose_from_26x_int8_engine_validation2.json,0.989474,0.958769,0.951840,0.956388
26n_pose_p70.engine,research/pose/26n-pose/pruning/70/26n_pose_p70_engine_test.json,0.992586,0.973106,0.963611,1.000000,22.24,44.96,68.00,6.52,2.59,11.71,55.70,,,,,research/pose/26n-pose/pruning/70/26n_pose_p70_engine_validation2.json,0.986452,0.973240,0.948970,0.983871
26n_pose_p70.pt,research/pose/26n-pose/pruning/70/26n_pose_p70_pt_test.json,0.979963,0.967028,0.925620,1.000000,14.76,67.75,70.10,10.94,2.98,12.06,55.56,,,,,research/pose/26n-pose/pruning/70/26n_pose_p70_pt_validation2.json,0.987616,0.978719,0.953066,0.982584
26n_pose_p70_fp16.engine,research/pose/26n-pose/pruning_quantization/70/FP16/26n_pose_p70_fp16_engine_test.json,0.992586,0.973090,0.965277,0.993040,37.97,26.34,47.38,9.74,2.79,10.58,54.58,,,,,research/pose/26n-pose/pruning_quantization/70/FP16/26n_pose_p70_fp16_engine_validation2.json,0.985729,0.972552,0.952341,0.966905
26n_pose_p70_int8.engine,research/pose/26n-pose/pruning_quantization/70/INT8/26n_pose_p70_int8_engine_test.json,0.993966,0.921274,0.965302,0.993770,43.14,23.18,48.91,10.20,2.79,9.43,53.75,,,,,research/pose/26n-pose/pruning_quantization/70/INT8/26n_pose_p70_int8_engine_validation2.json,0.989115,0.926473,0.966700,0.983871
26n_pose_p80.engine,research/pose/26n-pose/pruning/80/26n_pose_p80_engine_test.json,0.995000,0.990871,0.990229,1.000000,22.40,44.65,67.05,6.54,2.67,11.73,55.56,,,,,research/pose/26n-pose/pruning/80/26n_pose_p80_engine_validation2.json,0.992107,0.982069,0.964502,1.000000
26n_pose_p80.pt,research/pose/26n-pose/pruning/80/26n_pose_p80_pt_test.json,0.995000,0.990405,0.994889,1.000000,14.80,67.57,71.03,10.99,2.98,12.09,55.32,,,,,research/pose/26n-pose/pruning/80/26n_pose_p80_pt_validation2.json,0.992989,0.986122,0.981556,0.983871
26n_pose_p80_fp16.engine,research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16_engine_test.json,0.995000,0.990997,0.994002,1.000000,39.69,25.20,54.35,10.10,2.80,10.46,54.38,,,,,research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16_engine_validation2.json,0.991190,0.980983,0.980692,1.000000
26n_pose_p80_int8.engine,research/pose/26n-pose/pruning_quantization/80/INT8/26n_pose_p80_int8_engine_test.json,0.987321,0.957263,0.950004,0.964286,43.50,22.99,42.66,10.13,2.79,9.44,53.83,,,,,research/pose/26n-pose/pruning_quantization/80/INT8/26n_pose_p80_int8_engine_validation2.json,0.992531,0.962305,0.967839,0.970805
26n_pose_p90.engine,research/pose/26n-pose/pruning/90/26n_pose_p90_engine_test.json,0.995000,0.990871,0.988880,1.000000,22.54,44.36,66.97,6.55,2.60,11.70,55.53,,,,,research/pose/26n-pose/pruning/90/26n_pose_p90_engine_validation2.json,0.991784,0.981849,0.965172,1.000000
26n_pose_p90.pt,research/pose/26n-pose/pruning/90/26n_pose_p90_pt_test.json,0.995000,0.990405,0.994889,1.000000,14.78,67.68,67.95,10.97,3.00,12.07,55.74,,,,,research/pose/26n-pose/pruning/90/26n_pose_p90_pt_validation2.json,0.992989,0.986122,0.981556,0.983871
26n_pose_p90_fp16.engine,research/pose/26n-pose/pruning_quantization/90/FP16/26n_pose_p90_fp16_engine_test.json,0.995000,0.991140,0.995072,1.000000,39.10,25.57,52.22,9.98,2.80,10.49,53.94,,,,,research/pose/26n-pose/pruning_quantization/90/FP16/26n_pose_p90_fp16_engine_validation2.json,0.992302,0.981989,0.983278,1.000000
26n_pose_p90_int8.engine,research/pose/26n-pose/pruning_quantization/90/INT8/26n_pose_p90_int8_engine_test.json,0.983506,0.950095,0.928939,0.964286,43.87,22.80,43.38,10.26,2.78,9.45,53.38,,,,,research/pose/26n-pose/pruning_quantization/90/INT8/26n_pose_p90_int8_engine_validation2.json,0.986570,0.950662,0.967713,0.966874
26s_DS3_from_26l.engine,research/object/26s/distillation/26s_DS3_from_26l_engine_test.json,0.978013,0.902882,0.994118,0.969262,13.32,75.10,78.70,4.17,2.83,13.52,58.51,,,,,,,,,
26s_DS3_from_26l_fp16.engine,research/object/26s/distilled-quantized/FP16/26s_DS3_from_26l_fp16_engine_test.json,0.978009,0.884907,0.994296,0.969391,28.06,35.63,66.11,7.64,3.26,12.30,55.96,,,,,,,,,
26s_DS3_from_26l_int8.engine,research/object/26s/distilled-quantized/INT8/26s_DS3_from_26l_int8_engine_test.json,0.985122,0.840938,0.977207,0.962956,35.89,27.86,53.80,8.73,3.28,10.72,54.91,,,,,,,,,
