combo_name,object_model_path,pose_model_path,analysis_json,frames_processed,video_fps,runtime_fps,average_latency_ms,gpu_avg_power_w,gpu_avg_temp_c,gpu_avg_utilization_pct,PS Power (W),Temp (C),GPU (%),pass_events,drive_events,pred_passes_club1,pred_passes_club2,pred_passes_total,gt_passes_club1,gt_passes_club2,gt_passes_home,gt_passes_away,gt_passes_unknown,gt_passes_total,gt_team_mapping,map_compare_on,map_confidence_min,map_dedupe_window_s,map_time_offset_s,max_eval_time_s,pred_events_raw,pred_events_kept,gt_events_eval,mAP1,mAP2,mAP3,mAP4,mAP5,mAP1-5,partial,complete,error
obj26l_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_14/batch_20260320_103519/obj26l_fp16_pose26n_fp16.analysis.json,1500,25.0,5.5264,177.6958,4.6768,60.9938,51.928,4.6768,60.9938,51.928,28,17,6,22,28,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,28,28,30,0.468039,0.628477,0.654688,0.698553,0.736415,0.637234,True,False,
obj26l_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_14/batch_20260320_103519/obj26l_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,5.7115,172.3629,4.751,63.2991,45.2267,4.751,63.2991,45.2267,28,25,2,26,28,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,28,28,30,0.397887,0.438657,0.509622,0.543482,0.543482,0.486626,True,False,
obj26l_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_14/batch_20260320_103519/obj26l_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,5.7031,172.6661,4.72,63.6828,49.7854,4.72,63.6828,49.7854,23,23,1,22,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.395615,0.486832,0.500874,0.581804,0.581804,0.509386,True,False,
obj26l_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_14/batch_20260320_103519/obj26l_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,5.7354,171.5853,4.6048,63.6337,52.9352,4.6048,63.6337,52.9352,31,19,5,26,31,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,31,31,30,0.377359,0.556688,0.702166,0.735079,0.735079,0.621274,True,False,
obj26s_baseline_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_14/batch_20260320_103519/obj26s_baseline_pose26n_fp16.analysis.json,1500,25.0,5.9506,165.3746,3.8799,62.9561,49.2747,3.8799,62.9561,49.2747,17,18,2,15,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.482633,0.482633,0.566667,0.566667,0.566667,0.533053,True,False,
obj26s_baseline_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_14/batch_20260320_103519/obj26s_baseline_pose26n_p80_fp16.analysis.json,1500,25.0,6.1071,161.1054,3.8505,62.648,49.0731,3.8505,62.648,49.0731,16,24,2,14,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.413988,0.413988,0.497917,0.533333,0.533333,0.478512,True,False,
obj26s_baseline_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_14/batch_20260320_103519/obj26s_baseline_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.0978,161.3846,3.8292,62.545,47.7873,3.8292,62.545,47.7873,16,20,1,15,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.440909,0.443056,0.533333,0.533333,0.533333,0.496793,True,False,
obj26s_baseline_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_14/batch_20260320_103519/obj26s_baseline_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.1988,158.6961,3.718,61.0852,45.871,3.718,61.0852,45.871,19,22,3,16,19,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,19,19,30,0.427193,0.543108,0.633333,0.633333,0.633333,0.57406,True,False,
obj26m_p80_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_14/batch_20260320_103519/obj26m_p80_fp16_pose26n_fp16.analysis.json,1500,25.0,6.228,157.9669,3.9142,54.6883,44.1306,3.9142,54.6883,44.1306,22,22,5,17,22,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,22,22,30,0.382895,0.537161,0.537161,0.574744,0.658852,0.538163,True,False,
obj26m_p80_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_14/batch_20260320_103519/obj26m_p80_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,6.4623,152.1577,3.9311,54.0483,47.2186,3.9311,54.0483,47.2186,27,18,3,24,27,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,27,27,30,0.41735,0.73412,0.771037,0.771037,0.785122,0.695733,True,False,
