replay_dir,rank_group,rank_number,batch_dir,within_rank_position,combo_name,mAP1-5,mAP1,mAP2,mAP3,mAP4,mAP5,runtime_fps,average_latency_ms
replay_20260319_204802,rank_04,4,batch_20260319_235920,5,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.579653,0.368983,0.533085,0.622723,0.686738,0.686738,6.512,150.9864
replay_20260319_204802,rank_04,4,batch_20260319_235920,6,obj26s_baseline_pose26n_kd_p80_int8,0.563900,0.462092,0.557407,0.6,0.6,0.6,6.2305,157.8795
replay_20260319_204802,rank_04,4,batch_20260319_235920,7,obj26m_p80_fp16_pose26n_fp16,0.563566,0.399748,0.572736,0.572736,0.61064,0.66197,6.2188,158.2005
replay_20260319_204802,rank_04,4,batch_20260319_235920,8,obj26s_fp16_pose26n_kd26x_p80_fp16,0.540256,0.438889,0.462393,0.6,0.6,0.6,7.2972,134.5471
replay_20260319_204802,rank_04,4,batch_20260319_235920,9,obj26s_baseline_pose26n_kd26x_p80_fp16,0.528901,0.471301,0.473203,0.566667,0.566667,0.566667,6.1217,160.7791
replay_20260319_204802,rank_04,4,batch_20260319_235920,10,obj26l_fp16_pose26n_p80_fp16,0.524721,0.440342,0.498889,0.517512,0.560643,0.60622,5.7002,172.7751
replay_20260319_204802,rank_05,5,batch_20260320_010259,1,obj26l_fp16_pose26n_kd_p80_int8,0.653094,0.412733,0.544941,0.698303,0.804745,0.804745,5.7363,171.6366
replay_20260319_204802,rank_05,5,batch_20260320_010259,2,obj26l_fp16_pose26n_fp16,0.646039,0.479899,0.666904,0.666904,0.708244,0.708244,5.5307,177.5356
replay_20260319_204802,rank_05,5,batch_20260320_010259,3,obj26m_p80_fp16_pose26n_p80_fp16,0.604828,0.401192,0.643007,0.643007,0.643007,0.693927,6.4745,151.8913
replay_20260319_204802,rank_05,5,batch_20260320_010259,4,obj26m_p80_fp16_pose26n_kd26x_p80_fp16,0.594569,0.346023,0.549862,0.647659,0.71465,0.71465,6.5629,149.8315
replay_20260319_204802,rank_05,5,batch_20260320_010259,5,obj26l_fp16_pose26n_kd26x_p80_fp16,0.587014,0.479403,0.563484,0.57853,0.656825,0.656825,5.7501,171.2789
replay_20260319_204802,rank_05,5,batch_20260320_010259,6,obj26s_baseline_pose26n_kd_p80_int8,0.574060,0.427193,0.543108,0.633333,0.633333,0.633333,6.2063,158.5364
replay_20260319_204802,rank_05,5,batch_20260320_010259,7,obj26l_fp16_pose26n_p80_fp16,0.546194,0.434415,0.495608,0.566416,0.594653,0.639877,5.7071,172.5584
