combo_name,object_model_path,pose_model_path,analysis_json,frames_processed,video_fps,runtime_fps,average_latency_ms,gpu_avg_power_w,gpu_avg_temp_c,gpu_avg_utilization_pct,PS Power (W),Temp (C),GPU (%),pass_events,drive_events,pred_passes_club1,pred_passes_club2,pred_passes_total,gt_passes_club1,gt_passes_club2,gt_passes_home,gt_passes_away,gt_passes_unknown,gt_passes_total,gt_team_mapping,map_compare_on,map_confidence_min,map_dedupe_window_s,map_time_offset_s,max_eval_time_s,pred_events_raw,pred_events_kept,gt_events_eval,mAP1,mAP2,mAP3,mAP4,mAP5,mAP1-5,partial,complete,error
obj26l_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_15/batch_20260320_113903/obj26l_fp16_pose26n_fp16.analysis.json,1500,25.0,5.537,177.376,4.6435,54.8906,50.18,4.6435,54.8906,50.18,26,17,6,20,26,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,26,26,30,0.503275,0.642063,0.670286,0.714222,0.714222,0.648814,True,False,
obj26l_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_15/batch_20260320_113903/obj26l_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,5.7322,171.7741,4.716,56.4427,48.0935,4.716,56.4427,48.0935,29,22,3,26,29,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,29,29,30,0.418655,0.465374,0.534839,0.57012,0.57012,0.511821,True,False,
obj26l_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_15/batch_20260320_113903/obj26l_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,5.7189,172.189,4.6865,56.6943,52.8333,4.6865,56.6943,52.8333,23,21,2,21,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.434726,0.525818,0.53742,0.582227,0.582227,0.532484,True,False,
obj26l_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_15/batch_20260320_113903/obj26l_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,5.7853,170.1079,4.5546,56.4661,51.4385,4.5546,56.4661,51.4385,31,19,5,26,31,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,31,31,30,0.377359,0.556688,0.702166,0.735079,0.735079,0.621274,True,False,
obj26s_baseline_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_15/batch_20260320_113903/obj26s_baseline_pose26n_fp16.analysis.json,1500,25.0,5.9553,165.2684,3.8067,55.5555,48.6769,3.8067,55.5555,48.6769,17,18,2,15,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.482633,0.482633,0.566667,0.566667,0.566667,0.533053,True,False,
obj26s_baseline_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_15/batch_20260320_113903/obj26s_baseline_pose26n_p80_fp16.analysis.json,1500,25.0,6.1058,161.1628,3.7672,55.6904,48.411,3.7672,55.6904,48.411,17,20,2,15,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.448648,0.448648,0.531373,0.566667,0.566667,0.5124,True,False,
obj26s_baseline_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_15/batch_20260320_113903/obj26s_baseline_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.1155,160.8945,3.7771,55.5434,49.7591,3.7771,55.5434,49.7591,17,18,2,15,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.478758,0.480543,0.566667,0.566667,0.566667,0.53186,True,False,
obj26s_baseline_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_15/batch_20260320_113903/obj26s_baseline_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.1924,158.8825,3.6637,55.127,47.2593,3.6637,55.127,47.2593,19,22,3,16,19,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,19,19,30,0.427193,0.543108,0.633333,0.633333,0.633333,0.57406,True,False,
obj26m_p80_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_15/batch_20260320_113903/obj26m_p80_fp16_pose26n_fp16.analysis.json,1500,25.0,6.2546,157.3066,3.9175,54.3824,40.0,3.9175,54.3824,40.0,22,22,5,17,22,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,22,22,30,0.376718,0.534351,0.534351,0.574744,0.627033,0.529439,True,False,
obj26m_p80_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_15/batch_20260320_113903/obj26m_p80_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,6.4324,152.8452,3.9063,54.6993,43.9398,3.9063,54.6993,43.9398,27,16,4,23,27,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,27,27,30,0.462336,0.692096,0.782407,0.782407,0.825531,0.708956,True,False,
