combo_name,object_model_path,pose_model_path,analysis_json,frames_processed,video_fps,runtime_fps,average_latency_ms,gpu_avg_power_w,gpu_avg_temp_c,gpu_avg_utilization_pct,PS Power (W),Temp (C),GPU (%),pass_events,drive_events,pred_passes_club1,pred_passes_club2,pred_passes_total,gt_passes_club1,gt_passes_club2,gt_passes_home,gt_passes_away,gt_passes_unknown,gt_passes_total,gt_team_mapping,map_compare_on,map_confidence_min,map_dedupe_window_s,map_time_offset_s,max_eval_time_s,pred_events_raw,pred_events_kept,gt_events_eval,mAP1,mAP2,mAP3,mAP4,mAP5,mAP1-5,partial,complete,error
obj26l_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26l_fp16_pose26n_fp16.analysis.json,1500,25.0,5.533,177.34,4.6399,52.4964,54.348,4.6399,52.4964,54.348,25,20,5,20,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.524649,0.637778,0.646928,0.688333,0.688333,0.637204,True,False,
obj26l_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26l_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,5.7002,172.7751,4.6336,53.9284,51.2955,4.6336,53.9284,51.2955,30,21,3,27,30,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,30,30,30,0.440342,0.498889,0.517512,0.560643,0.60622,0.524721,True,False,
obj26l_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26l_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,5.7342,171.7476,4.6694,53.937,55.2898,4.6694,53.937,55.2898,25,22,1,24,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.480138,0.567124,0.580614,0.656825,0.656825,0.588305,True,False,
obj26l_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26l_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,5.769,170.6235,4.5202,53.4223,52.7358,4.5202,53.4223,52.7358,32,18,5,27,32,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,32,32,30,0.416175,0.623411,0.766155,0.803336,0.803336,0.682483,True,False,
obj26s_baseline_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26s_baseline_pose26n_fp16.analysis.json,1500,25.0,5.946,165.54,3.7653,52.7307,45.2035,3.7653,52.7307,45.2035,15,22,2,13,15,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,15,15,30,0.416111,0.416111,0.5,0.5,0.5,0.466444,True,False,
obj26s_baseline_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26s_baseline_pose26n_p80_fp16.analysis.json,1500,25.0,6.1111,161.0547,3.7473,52.7279,46.0046,3.7473,52.7279,46.0046,15,18,2,13,15,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,15,15,30,0.382145,0.382145,0.464444,0.5,0.5,0.445747,True,False,
obj26s_baseline_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26s_baseline_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.1217,160.7791,3.7604,52.8315,47.3288,3.7604,52.8315,47.3288,17,20,1,16,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.471301,0.473203,0.566667,0.566667,0.566667,0.528901,True,False,
obj26s_baseline_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26s_baseline_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.2305,157.8795,3.6799,52.4934,43.1667,3.6799,52.4934,43.1667,18,20,3,15,18,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,18,18,30,0.462092,0.557407,0.6,0.6,0.6,0.5639,True,False,
obj26m_p80_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26m_p80_fp16_pose26n_fp16.analysis.json,1500,25.0,6.2188,158.2005,3.9568,51.724,46.8423,3.9568,51.724,46.8423,23,20,6,17,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.399748,0.572736,0.572736,0.61064,0.66197,0.563566,True,False,
obj26m_p80_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26m_p80_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,6.4462,152.5215,3.9612,51.8569,45.8,3.9612,51.8569,45.8,24,16,3,21,24,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,24,24,30,0.380065,0.673908,0.715404,0.715404,0.724495,0.641855,True,False,
obj26m_p80_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26m_p80_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.512,150.9864,4.0337,52.0513,45.4537,4.0337,52.0513,45.4537,24,26,4,20,24,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,24,24,30,0.368983,0.533085,0.622723,0.686738,0.686738,0.579653,True,False,
obj26m_p80_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26m_p80_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.5279,150.6024,3.8614,51.4104,45.3364,3.8614,51.4104,45.3364,23,26,8,15,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.354949,0.495822,0.524393,0.58549,0.615966,0.515324,True,False,
obj26s_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/quantization/FP16/26s_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26s_fp16_pose26n_fp16.analysis.json,1500,25.0,6.9399,141.5422,3.0685,49.441,37.0446,3.0685,49.441,37.0446,16,22,2,14,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.379487,0.405449,0.533333,0.533333,0.533333,0.476987,True,False,
obj26s_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/quantization/FP16/26s_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26s_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,7.2585,135.2923,3.0656,48.8382,46.0876,3.0656,48.8382,46.0876,15,18,2,13,15,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,15,15,30,0.377576,0.377576,0.462222,0.5,0.5,0.443475,True,False,
obj26s_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/quantization/FP16/26s_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26s_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,7.2972,134.5471,3.0723,48.6425,48.776,3.0723,48.6425,48.776,18,20,1,17,18,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,18,18,30,0.438889,0.462393,0.6,0.6,0.6,0.540256,True,False,
obj26s_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/quantization/FP16/26s_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_04/batch_20260319_235920/obj26s_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,7.3472,133.6161,2.885,48.0913,42.7068,2.885,48.0913,42.7068,17,22,3,14,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.347059,0.523529,0.566667,0.566667,0.566667,0.514118,True,False,
