combo_name,object_model_path,pose_model_path,analysis_json,frames_processed,video_fps,runtime_fps,average_latency_ms,gpu_avg_power_w,gpu_avg_temp_c,gpu_avg_utilization_pct,PS Power (W),Temp (C),GPU (%),pass_events,drive_events,pred_passes_club1,pred_passes_club2,pred_passes_total,gt_passes_club1,gt_passes_club2,gt_passes_home,gt_passes_away,gt_passes_unknown,gt_passes_total,gt_team_mapping,map_compare_on,map_confidence_min,map_dedupe_window_s,map_time_offset_s,max_eval_time_s,pred_events_raw,pred_events_kept,gt_events_eval,mAP1,mAP2,mAP3,mAP4,mAP5,mAP1-5,partial,complete,error
obj26l_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_03/batch_20260319_225538/obj26l_fp16_pose26n_fp16.analysis.json,1500,25.0,5.5417,177.1831,4.6502,53.076,56.532,4.6502,53.076,56.532,25,18,5,20,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.524649,0.637778,0.645556,0.686667,0.686667,0.636263,True,False,
obj26l_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_03/batch_20260319_225538/obj26l_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,5.7037,172.6179,4.6341,54.5232,48.8016,4.6341,54.5232,48.8016,29,19,3,26,29,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,29,29,30,0.38305,0.444295,0.48676,0.536066,0.558316,0.481697,True,False,
obj26l_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_03/batch_20260319_225538/obj26l_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,5.7302,171.8255,4.6707,54.7908,49.7886,4.6707,54.7908,49.7886,25,22,1,24,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.475843,0.562894,0.576447,0.656825,0.656825,0.585767,True,False,
obj26l_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_03/batch_20260319_225538/obj26l_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,5.7602,170.8773,4.5515,54.3294,54.6694,4.5515,54.3294,54.6694,32,18,5,27,32,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,32,32,30,0.416175,0.623411,0.766155,0.803336,0.803336,0.682483,True,False,
obj26s_baseline_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_03/batch_20260319_225538/obj26s_baseline_pose26n_fp16.analysis.json,1500,25.0,5.9538,165.3138,3.7741,53.4085,54.6157,3.7741,53.4085,54.6157,16,18,2,14,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.448077,0.448077,0.533333,0.533333,0.533333,0.499231,True,False,
obj26s_baseline_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_03/batch_20260319_225538/obj26s_baseline_pose26n_p80_fp16.analysis.json,1500,25.0,6.1034,161.2048,3.7355,53.1386,45.25,3.7355,53.1386,45.25,15,18,2,13,15,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,15,15,30,0.382145,0.382145,0.464444,0.5,0.5,0.445747,True,False,
obj26s_baseline_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_03/batch_20260319_225538/obj26s_baseline_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.1115,160.9852,3.7473,53.1549,45.9589,3.7473,53.1549,45.9589,17,20,1,16,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.471301,0.473203,0.566667,0.566667,0.566667,0.528901,True,False,
obj26s_baseline_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_03/batch_20260319_225538/obj26s_baseline_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.1865,159.0093,3.6349,53.0085,47.7936,3.6349,53.0085,47.7936,18,20,3,15,18,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,18,18,30,0.462092,0.557407,0.6,0.6,0.6,0.5639,True,False,
obj26m_p80_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_03/batch_20260319_225538/obj26m_p80_fp16_pose26n_fp16.analysis.json,1500,25.0,6.1524,159.9259,3.8764,52.1013,45.1511,3.8764,52.1013,45.1511,24,16,6,18,24,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,24,24,30,0.495627,0.60221,0.60221,0.639766,0.691667,0.606296,True,False,
obj26m_p80_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_03/batch_20260319_225538/obj26m_p80_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,6.4543,152.3439,3.9925,52.1429,47.3535,3.9925,52.1429,47.3535,24,14,3,21,24,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,24,24,30,0.386195,0.682536,0.718841,0.718841,0.730435,0.647369,True,False,
