combo_name,object_model_path,pose_model_path,analysis_json,frames_processed,video_fps,runtime_fps,average_latency_ms,gpu_avg_power_w,gpu_avg_temp_c,gpu_avg_utilization_pct,PS Power (W),Temp (C),GPU (%),pass_events,drive_events,pred_passes_club1,pred_passes_club2,pred_passes_total,gt_passes_club1,gt_passes_club2,gt_passes_home,gt_passes_away,gt_passes_unknown,gt_passes_total,gt_team_mapping,map_compare_on,map_confidence_min,map_dedupe_window_s,map_time_offset_s,max_eval_time_s,pred_events_raw,pred_events_kept,gt_events_eval,mAP1,mAP2,mAP3,mAP4,mAP5,mAP1-5,partial,complete,error
obj26l_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_10/batch_20260320_062108/obj26l_fp16_pose26n_fp16.analysis.json,1500,25.0,5.6201,174.6985,4.8432,52.0905,51.3468,4.8432,52.0905,51.3468,24,17,4,20,24,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,24,24,30,0.471012,0.607536,0.607536,0.650652,0.650652,0.597478,True,False,
obj26l_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_10/batch_20260320_062108/obj26l_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,5.7128,172.3909,4.6311,52.9496,50.8455,4.6311,52.9496,50.8455,27,20,2,25,27,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,27,27,30,0.351873,0.39335,0.470149,0.502637,0.502637,0.44413,True,False,
obj26l_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_10/batch_20260320_062108/obj26l_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,5.7487,171.2929,4.6793,53.2847,49.3927,4.6793,53.2847,49.3927,22,21,2,20,22,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,22,22,30,0.453582,0.536159,0.543301,0.543301,0.543301,0.523929,True,False,
obj26l_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_10/batch_20260320_062108/obj26l_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,5.7375,171.5535,4.4941,52.6375,50.5645,4.4941,52.6375,50.5645,29,19,5,24,29,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,29,29,30,0.346735,0.563795,0.701448,0.737688,0.737688,0.617471,True,False,
obj26s_baseline_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_10/batch_20260320_062108/obj26s_baseline_pose26n_fp16.analysis.json,1500,25.0,5.9847,164.4539,3.8785,52.3015,51.8509,3.8785,52.3015,51.8509,17,16,2,15,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.478758,0.482633,0.566667,0.566667,0.566667,0.532278,True,False,
obj26s_baseline_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_10/batch_20260320_062108/obj26s_baseline_pose26n_p80_fp16.analysis.json,1500,25.0,6.1453,160.0857,3.8309,52.6088,51.1324,3.8309,52.6088,51.1324,16,18,2,14,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.413988,0.413988,0.497917,0.533333,0.533333,0.478512,True,False,
obj26s_baseline_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_10/batch_20260320_062108/obj26s_baseline_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.1323,160.4863,3.8544,52.3492,45.4384,3.8544,52.3492,45.4384,17,18,1,16,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.478758,0.480543,0.566667,0.566667,0.566667,0.53186,True,False,
obj26s_baseline_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_10/batch_20260320_062108/obj26s_baseline_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.2269,157.9889,3.761,52.0327,47.1152,3.761,52.0327,47.1152,15,22,3,12,15,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,15,15,30,0.347532,0.46,0.5,0.5,0.5,0.461506,True,False,
obj26m_p80_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_10/batch_20260320_062108/obj26m_p80_fp16_pose26n_fp16.analysis.json,1500,25.0,6.2576,157.2179,3.9983,51.2605,48.9773,3.9983,51.2605,48.9773,23,16,5,18,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.467407,0.569235,0.569235,0.609388,0.660652,0.575184,True,False,
obj26m_p80_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_10/batch_20260320_062108/obj26m_p80_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,6.5559,149.9934,4.0719,51.5268,48.3692,4.0719,51.5268,48.3692,25,12,3,22,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.489077,0.713536,0.750957,0.750957,0.761101,0.693126,True,False,
