combo_name,object_model_path,pose_model_path,analysis_json,frames_processed,video_fps,runtime_fps,average_latency_ms,gpu_avg_power_w,gpu_avg_temp_c,gpu_avg_utilization_pct,PS Power (W),Temp (C),GPU (%),pass_events,drive_events,pred_passes_club1,pred_passes_club2,pred_passes_total,gt_passes_club1,gt_passes_club2,gt_passes_home,gt_passes_away,gt_passes_unknown,gt_passes_total,gt_team_mapping,map_compare_on,map_confidence_min,map_dedupe_window_s,map_time_offset_s,max_eval_time_s,pred_events_raw,pred_events_kept,gt_events_eval,mAP1,mAP2,mAP3,mAP4,mAP5,mAP1-5,partial,complete,error
obj26l_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26l_fp16_pose26n_fp16.analysis.json,1500,25.0,5.5307,177.5356,4.6512,52.3282,53.668,4.6512,52.3282,53.668,28,20,5,23,28,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,28,28,30,0.479899,0.666904,0.666904,0.708244,0.708244,0.646039,True,False,
obj26l_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26l_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,5.7071,172.5584,4.6353,54.0971,46.7773,4.6353,54.0971,46.7773,31,23,3,28,31,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,31,31,30,0.434415,0.495608,0.566416,0.594653,0.639877,0.546194,True,False,
obj26l_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26l_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,5.7501,171.2789,4.6722,54.1555,45.5796,4.6722,54.1555,45.5796,25,22,1,24,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.479403,0.563484,0.57853,0.656825,0.656825,0.587014,True,False,
obj26l_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26l_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,5.7363,171.6366,4.4862,53.5757,45.085,4.4862,53.5757,45.085,32,18,5,27,32,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,32,32,30,0.412733,0.544941,0.698303,0.804745,0.804745,0.653094,True,False,
obj26s_baseline_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26s_baseline_pose26n_fp16.analysis.json,1500,25.0,5.9621,165.0981,3.7716,53.0309,46.1299,3.7716,53.0309,46.1299,15,22,2,13,15,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,15,15,30,0.416111,0.416111,0.5,0.5,0.5,0.466444,True,False,
obj26s_baseline_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26s_baseline_pose26n_p80_fp16.analysis.json,1500,25.0,6.0917,161.5438,3.7321,52.9317,46.8243,3.7321,52.9317,46.8243,15,24,2,13,15,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,15,15,30,0.37641,0.379114,0.5,0.5,0.5,0.451105,True,False,
obj26s_baseline_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26s_baseline_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.1269,160.6297,3.7575,52.9628,48.9633,3.7575,52.9628,48.9633,17,20,1,16,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.471301,0.473203,0.566667,0.566667,0.566667,0.528901,True,False,
obj26s_baseline_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26s_baseline_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.2063,158.5364,3.6514,52.7443,48.9401,3.6514,52.7443,48.9401,19,22,3,16,19,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,19,19,30,0.427193,0.543108,0.633333,0.633333,0.633333,0.57406,True,False,
obj26m_p80_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26m_p80_fp16_pose26n_fp16.analysis.json,1500,25.0,6.1876,159.0384,3.9321,51.4446,46.7568,3.9321,51.4446,46.7568,22,24,6,16,22,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,22,22,30,0.358381,0.531339,0.531339,0.62665,0.62665,0.534872,True,False,
obj26m_p80_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26m_p80_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,6.4745,151.8913,3.9965,51.9016,48.1721,3.9965,51.9016,48.1721,23,21,3,20,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.401192,0.643007,0.643007,0.643007,0.693927,0.604828,True,False,
obj26m_p80_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26m_p80_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.5629,149.8315,4.067,52.2367,48.3395,4.067,52.2367,48.3395,25,26,4,21,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.346023,0.549862,0.647659,0.71465,0.71465,0.594569,True,False,
obj26m_p80_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26m_p80_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.478,151.7786,3.8228,51.3931,48.9488,3.8228,51.3931,48.9488,23,26,8,15,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.354949,0.495822,0.524393,0.58549,0.614278,0.514986,True,False,
obj26s_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/quantization/FP16/26s_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26s_fp16_pose26n_fp16.analysis.json,1500,25.0,6.9535,141.2399,3.0717,49.2928,38.9653,3.0717,49.2928,38.9653,16,22,2,14,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.379487,0.405449,0.533333,0.533333,0.533333,0.476987,True,False,
obj26s_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/quantization/FP16/26s_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_05/batch_20260320_010259/obj26s_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,7.2174,136.0519,3.0342,48.5094,39.8718,3.0342,48.5094,39.8718,15,24,2,13,15,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,15,15,30,0.374444,0.377576,0.5,0.5,0.5,0.450404,True,False,
