combo_name,object_model_path,pose_model_path,analysis_json,frames_processed,video_fps,runtime_fps,average_latency_ms,gpu_avg_power_w,gpu_avg_temp_c,gpu_avg_utilization_pct,PS Power (W),Temp (C),GPU (%),pass_events,drive_events,pred_passes_club1,pred_passes_club2,pred_passes_total,gt_passes_club1,gt_passes_club2,gt_passes_home,gt_passes_away,gt_passes_unknown,gt_passes_total,gt_team_mapping,map_compare_on,map_confidence_min,map_dedupe_window_s,map_time_offset_s,max_eval_time_s,pred_events_raw,pred_events_kept,gt_events_eval,mAP1,mAP2,mAP3,mAP4,mAP5,mAP1-5,partial,complete,error
obj26l_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_12/batch_20260320_082806/obj26l_fp16_pose26n_fp16.analysis.json,1500,25.0,5.5572,176.6352,4.6724,52.8422,48.332,4.6724,52.8422,48.332,25,17,5,20,25,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,25,25,30,0.495046,0.635556,0.635556,0.68,0.68,0.625231,True,False,
obj26l_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_12/batch_20260320_082806/obj26l_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,5.7079,172.5114,4.6576,54.1529,49.004,4.6576,54.1529,49.004,27,23,2,25,27,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,27,27,30,0.357984,0.403165,0.480443,0.514075,0.514075,0.453949,True,False,
obj26l_fp16_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_12/batch_20260320_082806/obj26l_fp16_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,5.7451,171.4131,4.6941,54.9567,48.4634,4.6941,54.9567,48.4634,24,21,2,22,24,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,24,24,30,0.437734,0.528333,0.539167,0.617761,0.617761,0.548151,True,False,
obj26l_fp16_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26l/quantization/FP16/26l_DS3_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_12/batch_20260320_082806/obj26l_fp16_pose26n_kd_p80_int8.analysis.json,1500,25.0,5.7507,171.1364,4.519,54.4113,47.7927,4.519,54.4113,47.7927,30,19,5,25,30,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,30,30,30,0.352504,0.563795,0.700605,0.736807,0.736807,0.618104,True,False,
obj26s_baseline_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_12/batch_20260320_082806/obj26s_baseline_pose26n_fp16.analysis.json,1500,25.0,5.9624,165.0875,3.7787,53.8665,46.0087,3.7787,53.8665,46.0087,17,18,2,15,17,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,17,17,30,0.478758,0.482633,0.566667,0.566667,0.566667,0.532278,True,False,
obj26s_baseline_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_12/batch_20260320_082806/obj26s_baseline_pose26n_p80_fp16.analysis.json,1500,25.0,6.1076,161.1075,3.765,54.4525,46.6393,3.765,54.4525,46.6393,16,16,2,14,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.413988,0.413988,0.497917,0.533333,0.533333,0.478512,True,False,
obj26s_baseline_pose26n_kd26x_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/FP16/26n_pose_from_26x_80p_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_12/batch_20260320_082806/obj26s_baseline_pose26n_kd26x_p80_fp16.analysis.json,1500,25.0,6.103,161.2507,3.7593,54.6835,48.3575,3.7593,54.6835,48.3575,16,20,1,15,16,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,16,16,30,0.440909,0.443056,0.533333,0.533333,0.533333,0.496793,True,False,
obj26s_baseline_pose26n_kd_p80_int8,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26s/baseline/26s_DS3_baseline.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/distillation_pruning_quantization/80/INT8/26n_pose_from_26m_80p_int8.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_12/batch_20260320_082806/obj26s_baseline_pose26n_kd_p80_int8.analysis.json,1500,25.0,6.2062,158.4957,3.6455,53.9436,44.1106,3.6455,53.9436,44.1106,18,20,3,15,18,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,18,18,30,0.440598,0.559259,0.6,0.6,0.6,0.559972,True,False,
obj26m_p80_fp16_pose26n_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/quantization/FP16/26n_pose_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_12/batch_20260320_082806/obj26m_p80_fp16_pose26n_fp16.analysis.json,1500,25.0,6.2899,156.3837,3.9589,52.9606,44.156,3.9589,52.9606,44.156,23,16,5,18,23,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,23,23,30,0.470185,0.57155,0.57155,0.609388,0.660652,0.576665,True,False,
obj26m_p80_fp16_pose26n_p80_fp16,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/object/26m/pruning_quantization/80/FP16/26m_DS3_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/research/pose/26n-pose/pruning_quantization/80/FP16/26n_pose_p80_fp16.engine,/home/jetson/Desktop/JackColeman/football-analysis/football_analysis/stat_analysis/pass_analysis_runs/top_settings_replay/replay_20260319_204802/rank_12/batch_20260320_082806/obj26m_p80_fp16_pose26n_p80_fp16.analysis.json,1500,25.0,6.4834,151.6473,3.935,52.9506,46.6435,3.935,52.9506,46.6435,26,12,3,23,26,7,23,7,23,0,30,"home->club1,away->club2",start,0.15,0.05,0.0,60.0,26,26,30,0.431636,0.699359,0.74325,0.74325,0.797333,0.682966,True,False,
